Name,Reign_Beginning,Reign_End,Defeated,Defenses,Reach,Height,Stance,Nationality,Weight,Recognition
Silvio Branco,19-Oct-06,28-Apr-07,Promoted,0,,184,Orthodox,Italian,Lheavy,WBA
Stipe Drews,28-Apr-07,16-Dec-07,Silvio Branco ,0,,196,Southpaw,Croatian,Lheavy,WBA
Danny Green,16-Dec-07, 25 March 2008,Stipe Drews,0,185,185,Orthodox,Australian,Lheavy,WBA
Hugo Garay  Regular champion,3-Jul-08,20-Jun-09,Yuriy Barashian,1,196,183,Orthodox,Argentine,Lheavy,WBA
Gabriel Campillo,20-Jun-09,29-Jan-10,Hugo Garay  Regular champion,1,,,Southpaw,Spanish,Lheavy,WBA
Beibut Shumenov,29-Jan-10,19-Apr-14,Gabriel Campillo,6,188,188,Orthodox,Kazakhstani,Lheavy,WBA
Bernard Hopkins,19-Apr-14,8-Nov-14,Beibut Shumenov  ,0,180,185,Orthodox,American,Lheavy,WBA
Sergey Kovalev  ,8-Nov-14,19-Nov-16,Bernard Hopkins,4,184,183,Orthodox,Russian,Lheavy,WBA
Andre Ward,19-Nov-16, 21 September 2017,Sergey Kovalev  ,1,180,183,Orthodox,American,Lheavy,WBA
Badou Jack  Regular champion,21-Sep-17, 23 September 2017,Andre Ward,0,185,185,,Swedish,Lheavy,WBA
Dmitry Bivol  Regular champion,23-Sep-17, present,Promoted,10,183,183,Orthodox,Russian,Lheavy,WBA
Bruno Girard,22-Dec-01,8-Mar-03,Robert Koon,2,185,187,Orthodox,French,Lheavy,WBA_Reg
Mehdi Sahnoune,8-Mar-03, 15 April 2003,Bruno Girard,0,,182,Orthodox,French,Lheavy,WBA_Reg
Silvio Branco,8-Nov-03,20-Feb-04,Mehdi Sahnoune,0,,184,Orthodox,Italian,Lheavy,WBA_Reg
Fabrice Tiozzo,20-Feb-04, 3 July 2004,Silvio Branco,0,183,184,Orthodox,French,Lheavy,WBA_Reg
Jurgen Brahmer,14-Dec-13,1-Oct-16,Marcus Oliveira,6,181,181,Southpaw,German,Lheavy,WBA_Reg
Nathan Cleverly,1-Oct-16,26-Aug-17,Jürgen Brähmer,0,193,188,Orthodox,Welsh,Lheavy,WBA_Reg
Badou Jack,26-Aug-17, 21 September 2017,Nathan Cleverly,0,185,185,,Swedish,Lheavy,WBA_Reg
Jean Pascal,10-Oct-19, 9 July 2021,Promoted,1,183,179,Orthodox,Canadian,Lheavy,WBA_Reg
Park Chong-pal,6-Dec-87,23-May-88,Jesús Gallardo,1,183,178,Orthodox,South Korean,SuperMid,WBA
Fulgencio Obelmejias,23-May-88,28-May-89,Park Chong-pal,0,,,,Venezuelan,SuperMid,WBA
Baek In-chul,28-May-89,30-Mar-90,Fulgencio Obelmejias,2,,,Orthodox,South Korean,SuperMid,WBA
Christophe Tiozzo,30-Mar-90,5-Apr-91,Baek In-chul,2,,184,Orthodox, French,SuperMid,WBA
Victor Cordoba,5-Apr-91,12-Sep-92,Christophe Tiozzo,1,196,185,Southpaw,Panamanian,SuperMid,WBA
Michael Nunn,12-Sep-92,26-Feb-94,Víctor Córdoba,4,196,188,Southpaw,American,SuperMid,WBA
Steve Little,26-Feb-94,12-Aug-94,Michael Nunn,0,196,188,Orthodox,American,SuperMid,WBA
Frankie Liles,12-Aug-94,12-Jun-99,Steve Little,7,196,189,Southpaw,American,SuperMid,WBA
Byron Mitchell,12-Jun-99,8-Apr-00,Frankie Liles,1,171,182,Orthodox,American,SuperMid,WBA
Bruno Girard,8-Apr-00, March 2001,Byron Mitchell,1,185,187,Orthodox,French,SuperMid,WBA
Byron Mitchell,3-Mar-01,15-Mar-03,Manny Siaca,2,171,182,Orthodox,American,SuperMid,WBA
Sven Ottke,15-Mar-03, 27 March 2004,Byron Mitchell,4,175,178,Orthodox,German,SuperMid,WBA
Anthony Mundine,27-Mar-04,5-May-04,Sven Ottke  ,0,178,180,Orthodox,Australian,SuperMid,WBA
Manny Siaca,5-May-04,12-Nov-04,Anthony Mundine  Regular champion,0,,,,Puerto Rican,SuperMid,WBA
Mikkel Kessler,12-Nov-04,4-Nov-07,Manny Siaca,4,188,185,Orthodox,Danish,SuperMid,WBA
Joe Calzaghe,4-Nov-07, 26 September 2008,Mikkel Kessler,0,185,183,Southpaw,Welsh,SuperMid,WBA
Mikkel Kessler,3-Oct-08,21-Nov-09,,2,188,185,Orthodox,Danish,SuperMid,WBA
Andre Ward,21-Nov-09, 12 November 2015,Mikkel Kessler ,5,180,183,Orthodox,American,SuperMid,WBA
Fedor Chudinov  Regular champion,12-Nov-15,20-Feb-16,,0,183,177,Orthodox,Russian,SuperMid,WBA
Felix Sturm,20-Feb-16, 5 October 2016,Fedor Chudinov  ,0,185,181,Orthodox,German,SuperMid,WBA
Giovanni De Carolis ,5-Oct-16,5-Nov-16,Felix Sturm,0,,184,Orthodox,Italian,SuperMid,WBA
Tyron Zeuge,5-Nov-16, 27 May 2017,Giovanni De Carolis   Regular champion,1,,179,Orthodox,German,SuperMid,WBA
George Groves  ,27-May-17,28-Sep-18,Fedor Chudinov,2,188,182,Orthodox,British,SuperMid,WBA
Callum Smith,28-Sep-18,19-Dec-20,George Groves  ,2,198,191,Orthodox,British,SuperMid,WBA
Canelo Alvarez,19-Dec-20, present,Callum Smith,4,179,174,Orthodox,Mexican,SuperMid,WBA
Anthony Mundine,3-Sep-03, 27 May 2008,Antwun Echols,5,178,180,Orthodox,Australian,SuperMid,WBA_Reg
Mikkel Kessler,21-Jun-08, 3 October 2008,Dimitri Sartison,0,188,185,Orthodox,Danish,SuperMid,WBA_Reg
Dimitri Sartison,21-Nov-09, 15 July 2011,Stjepan Bozic,1,,177,Orthodox,German,SuperMid,WBA_Reg
Karoly Balzsay,26-Aug-11, 3 August 2012,Stanislav Kashtanov,1,,183,Southpaw,Hungarian,SuperMid,WBA_Reg
Brian Magee,9-Nov-12,8-Dec-12,Promoted,0,188,183,Southpaw,Irish,SuperMid,WBA_Reg
Mikkel Kessler,8-Dec-12,25-May-13,Brian Magee,0,188,185,Orthodox,Danish,SuperMid,WBA_Reg
Carl Froch,25-May-13, 8 May 2015,Mikkel Kessler,2,191,185,Orthodox,British,SuperMid,WBA_Reg
Fedor Chudinov,9-May-15, 12 November 2015,Felix Sturm,1,183,177,Orthodox,Russian,SuperMid,WBA_Reg
Rocky Fielding,14-Jul-18,15-Dec-18,Tyron Zeuge,0,191,185,Orthodox,British,SuperMid,WBA_Reg
Canelo Alvarez,15-Dec-18, 19 December 2020,Rocky Fielding,0,179,174,Orthodox,Mexican,SuperMid,WBA_Reg
David Morrell,19-Jan-21, present,Promoted,4,198,185,Southpaw,Cuban ,SuperMid,WBA_Reg
Johnny Wilson,21-Jan,31-Aug-23,Previous,3,183,175,Southpaw,American,Mid,WBA
Harry Greb,31-Aug-23,25-Feb-26,Johnny Wilson,4,180,173,Orthodox,American,Mid,WBA
Tiger Flowers,25-Feb-26,3-Dec-26,Harry Greb,1,,,Southpaw,American,Mid,WBA
Mickey Walker,3-Dec-26, 19 June 1931,Tiger Flowers,3,170,170,Orthodox,American,Mid,WBA
Gorilla Jones,25-Jan-32,11-Jun-32,Oddone Piazza,1,191,175,Orthodox,American,Mid,WBA
Marcel Thil,11-Jun-32, 19 September 1933,Gorilla Jones,1,,,Orthodox,French,Mid,WBA
Lou Brouillard,19-Sep-33,30-Oct-33,Marcel Thil,0,183,170,Southpaw,Canadian,Mid,WBA
Vince Dundee,30-Oct-33,11-Sep-34,Lou Brouillard,2,180,173,Orthodox,American,Mid,WBA
Teddy Yarosz,11-Sep-34,19-Sep-35,Vince Dundee,0,184,178,Orthodox,American,Mid,WBA
Eddie Babe Risko,19-Sep-35,11-Jul-36,Teddy Yarosz,1,184,178,Orthodox,American,Mid,WBA
Freddie Steele,11-Jul-36,26-Jul-38,Eddie Babe Risko,5,183,178,Orthodox,American,Mid,WBA
Al Hostak,26-Jul-38,1-Nov-38,Freddie Steele,0,185,183,Orthodox,American,Mid,WBA
Solly Krieger,1-Nov-38,27-Jun-39,Al Hostak,0,173,173,Orthodox,American,Mid,WBA
Al Hostak,27-Jun-39,19-Jul-40,Solly Krieger,1,185,183,Orthodox,American,Mid,WBA
Tony Zale,19-Jul-40,16-Jul-47,Al Hostak ,4,175,175,Orthodox,American,Mid,WBA
Rocky Graziano,16-Jul-47,10-Jun-48,Tony Zale,4,174,170,Orthodox,American,Mid,WBA
Tony Zale,10-Jun-48,21-Sep-48,Rocky Graziano,0,175,175,Orthodox,American,Mid,WBA
Marcel Cerdan,21-Sep-48,16-Jun-49,Tony Zale ,0,,,Orthodox,French,Mid,WBA
Jake LaMotta,16-Jun-49,14-Feb-51,Marcel Cerdan,2,170,173,Orthodox,American,Mid,WBA
Sugar Ray Robinson,14-Feb-51,10-Jul-51,Jake LaMotta,0,184,180,Orthodox,American,Mid,WBA
Randolph Turpin,10-Jul-51,12-Sep-51,Sugar Ray Robinson,0,189,177,Orthodox,British,Mid,WBA
Sugar Ray Robinson,12-Sep-51, 19 December 1952,Randolph Turpin,2,184,180,Orthodox,American,Mid,WBA
Bobo Olson,21-Oct-53,9-Dec-55,Randy Turpin,3,,179,Orthodox,American,Mid,WBA
Sugar Ray Robinson,9-Dec-55,2-Jan-57,Bobo Olson,1,184,180,Orthodox,American,Mid,WBA
Gene Fullmer,2-Jan-57,1-May-57,Sugar Ray Robinson ,0,175,170,Orthodox,American,Mid,WBA
Sugar Ray Robinson,1-May-57,23-Sep-57,Gene Fullmer,0,184,180,Orthodox,American,Mid,WBA
Carmen Basilio,23-Sep-57,25-Mar-58,Sugar Ray Robinson ,0,,169,Orthodox,American,Mid,WBA
Sugar Ray Robinson,25-Mar-58, 4 May 1959,Carmen Basilio,0,184,180,Orthodox,American,Mid,WBA
Gene Fullmer,28-Aug-59,23-Oct-62,Carmen Basilio,7,175,170,Orthodox,American,Mid,WBA
Dick Tiger,23-Oct-62,7-Dec-63,Gene Fullmer ,2,180,172,Orthodox,Nigerian,Mid,WBA
Joey Giardello,7-Dec-63,21-Oct-65,Dick Tiger,1,,,Orthodox,American,Mid,WBA
Dick Tiger,21-Oct-65,25-Apr-66,Joey Giardello,0,180,172,Orthodox,Nigerian,Mid,WBA
Emile Griffith,25-Apr-66,17-Apr-67,Dick Tiger ,2,,169,Orthodox,Virgin Islander,Mid,WBA
Nino Benvenuti,17-Apr-67,29-Sep-67,Emile Griffith,0,,177,Orthodox,Italian,Mid,WBA
Emile Griffith,29-Sep-67,4-Mar-68,Nino Benvenuti,0,,169,Orthodox,Virgin Islander,Mid,WBA
Nino Benvenuti,4-Mar-68,7-Nov-70,Emile Griffith ,4,,177,Orthodox,Italian,Mid,WBA
Carlos Monzon,7-Nov-70, 29 August 1977,Nino Benvenuti ,14,193,182,Orthodox,Argentine,Mid,WBA
Rodrigo Valdez,5-Nov-77,22-Apr-78,Bennie Briscoe,0,178,177,Orthodox,Venezuelan,Mid,WBA
Hugo Corro,22-Apr-78,30-Jun-79,Rodrigo Valdéz,2,172,173,Orthodox,Argentine,Mid,WBA
Vito Antuofermo,30-Jun-79,16-Mar-80,Hugo Corro,1,,,Orthodox,Italian American,Mid,WBA
Alan Minter,16-Mar-80,27-Sep-80,Vito Antuofermo,1,180,178,Southpaw,British,Mid,WBA
Marvin Hagler,27-Sep-80, 25 February 1987,Alan Minter,11,191,175,Southpaw,American,Mid,WBA
Sumbu Kalambay,23-Oct-87, 2 March 1989,Iran Barkley,3,183,175,Orthodox,Italian,Mid,WBA
Mike McCallum,10-May-89, 4 December 1991,Herol Graham,3,198,182,Orthodox,Jamaican,Mid,WBA
Reggie Johnson,22-Apr-92,1-Oct-93,Steve Collins,3,183,178,Southpaw,American,Mid,WBA
John David Jackson,1-Oct-93, 6 May 1994,Reggie Johnson,0,188,179,Southpaw,American,Mid,WBA
Jorge Castro,12-Aug-94,19-Dec-95,Reggie Johnson,4,175,175,Orthodox,Argentine,Mid,WBA
Shinji Takehara,19-Dec-95,24-Jun-96,Jorge Castro,0,,186,Orthodox,Japanese,Mid,WBA
William Joppy,24-Jun-96,23-Aug-97,Shinji Takehara,2,184,175,Orthodox,American,Mid,WBA
Julio Cesar Green,23-Aug-97,31-Jan-98,William Joppy,0,,,,Dominican,Mid,WBA
William Joppy,31-Jan-98,12-May-01,Julio César Green,5,184,175,Orthodox,American,Mid,WBA
Felix Trinidad,12-May-01,29-Sep-01,William Joppy ,0,183,180,Orthodox,Puerto Rican,Mid,WBA
Bernard Hopkins  ,29-Sep-01,16-Jul-05,Félix Trinidad,9,180,185,Orthodox,American,Mid,WBA
Jermain Taylor,16-Jul-05, 14 December 2006,Bernard Hopkins  ,1,198,185,Orthodox,American,Mid,WBA
Javier Castillejo  Regular champion,14-Dec-06,28-Apr-07,Jermain Taylor,0,178,180,Orthodox,Spanish,Mid,WBA
Felix Sturm,28-Apr-07,1-Sep-12,Javier Castillejo  Regular champion,12,185,181,Orthodox,German,Mid,WBA
Daniel Geale,1-Sep-12, 2 November 2012,Felix Sturm  ,0,180,178,Orthodox,Australian,Mid,WBA
Gennady Golovkin  Regular champion,2-Nov-12,3-Jun-14,Daniel Geale,14,178,179,Orthodox,Kazakhstani,Mid,WBA
Canelo Alvarez,15-Sep-18, 1 January 2021,Gennady Golovkin  ,1,179,174,Orthodox,Mexican,Mid,WBA
Ryota Murata  Regular champion,1-Jan-21,9-Apr-22,Canelo Álvarez,0,191,183,Orthodox,Japanese,Mid,WBA
Gennady Golovkin,9-Apr-22, present,Ryōta Murata  ,0,,,,Kazakhstani,Mid,WBA
William Joppy,17-Nov-01, 13 December 2003,Howard Eastman,1,184,175,Orthodox,American,Mid,WBA_Reg
Maselino Masoe,1-May-04,11-Mar-06,Evans Ashira,0,173,173,Orthodox,Samoan,Mid,WBA_Reg
Felix Sturm,11-Mar-06,15-Jul-06,Maselino Masoe,0,185,181,Orthodox,German,Mid,WBA_Reg
Javier Castillejo,15-Jul-06, 14 December 2006,Felix Sturm,1,178,180,Orthodox,Spanish,Mid,WBA_Reg
Gennady Golovkin,14-Oct-10, 2 November 2012,Promoted,5,178,179,Orthodox,Kazakhstani,Mid,WBA_Reg
Daniel Jacobs,9-Aug-14, 18 March 2017,Jarrod Fletcher,4,187,183,Orthodox,American,Mid,WBA_Reg
Hassan N'Dam N'Jikam,20-May-17,22-Oct-17,Ryōta Murata,0,187,181,Orthodox,Cameroonian,Mid,WBA_Reg
Ryota Murata,22-Oct-17,20-Oct-18,Hassan N'Dam N'Jikam,1,191,183,Orthodox,Japanese,Mid,WBA_Reg
Rob Brant,20-Oct-18,12-Jul-19,Ryōta Murata,1,179,184,Orthodox,American,Mid,WBA_Reg
Ryota Murata,12-Jul-19, 1 January 2021,Rob Brant,1,191,183,Orthodox,Japanese,Mid,WBA_Reg
Erislandy Lara,1-May-21, present,Thomas LaManna,1,192,175,Southpaw,Cuban,Mid,WBA_Reg
Denny Moyer,20-Oct-62,29-Apr-63,Joey Giambra,1,,174,Orthodox,American,LMid,WBA
Ralph Dupas,29-Apr-63,7-Sep-63,Denny Moyer,1,,,Orthodox,American,LMid,WBA
Alessandro Mazzinghi,7-Sep-63,18-Jun-65,Ralph Dupas,3,,,,Italian,LMid,WBA
Nino Benvenuti,18-Jun-65,25-Jun-66,Alessandro Mazzinghi,1,,177,Orthodox,Italian,LMid,WBA
Kim Ki-soo,25-Jun-66,25-May-68,Nino Benvenuti,2,177,170,Southpaw,South Korean,LMid,WBA
Sandro Mazzinghi,25-May-68, 28 October 1968,Kim Ki-soo,1,,,,Italian,LMid,WBA
Freddie Little,17-Mar-69,9-Jul-70,Stanley Hayward,2,,170,,American,LMid,WBA
Carmelo Bossi,9-Jul-70,31-Oct-71,Freddie Little,1,,170,Orthodox,Italian,LMid,WBA
Koichi Wajima,31-Oct-71,4-Jun-74,Carmelo Bossi,6,,171,Orthodox,Japanese,LMid,WBA
Oscar Albarado,4-Jun-74,21-Jan-75,Koichi Wajima,1,173,169,Orthodox,American,LMid,WBA
Koichi Wajima,21-Jan-75,7-Jun-75,Oscar Albarado,0,,171,Orthodox,Japanese,LMid,WBA
Yuh Jae-doo,7-Jun-75,17-Feb-76,Koichi Wajima ,1,,,Orthodox,South Korean,LMid,WBA
Koichi Wajima,17-Feb-76,18-May-76,Yuh Jae-doo,0,,171,Orthodox,Japanese,LMid,WBA
Jose Duran,18-May-76,8-Oct-76,Koichi Wajima ,0,,175,Orthodox,Spanish,LMid,WBA
Miguel Angel Castellini,8-Oct-76,5-Mar-77,José Duran,0,,182,Orthodox,Argentine,LMid,WBA
Eddie Gazo,5-Mar-77,9-Aug-78,Miguel Ángel Castellini,3,175,169,Orthodox,Nicaraguan,LMid,WBA
Masashi Kudo,9-Aug-78,24-Aug-79,Eddie Gazo,3,,173,Orthodox,Japanese,LMid,WBA
Ayub Kalule,24-Aug-79,25-Jun-81,Masashi Kudo,4,185,175,Southpaw,Ugandan,LMid,WBA
Sugar Ray Leonard,25-Jun-81, 23 September 1981,Ayub Kalule,0,188,178,Orthodox,American,LMid,WBA
Tadashi Mihara,7-Nov-81,2-Feb-82,Rocky Fratto,0,,178,Orthodox,Japanese,LMid,WBA
Davey Moore,2-Feb-82,16-Jun-83,Tadashi Mihara,3,180,178,Orthodox,American,LMid,WBA
Roberto Duran,16-Jun-83, 15 June 1984,Davey Moore,0,169,170,Orthodox,Panamanian,LMid,WBA
Mike McCallum,19-Oct-84, August 1987,Sean Mannion,6,198,182,Orthodox,Jamaican,LMid,WBA
Julian Jackson,21-Nov-87, 10 January 1991,Baek In-Chul,3,185,180,Orthodox,Virgin Islander,LMid,WBA
Gilbert Dele,23-Feb-91,1-Oct-91,Carlos Elliott,1,,176,Southpaw,FrenchGuadeloupean,LMid,WBA
Vinny Paz,1-Oct-91, 14 October 1992,Gilbert Delé,0,179,171,Orthodox,American,LMid,WBA
Julio Cesar Vasquez,21-Dec-92,4-Mar-95,Hitoshi Kamiyama,10,175,173,Southpaw,Argentine,LMid,WBA
Pernell Whitaker,4-Mar-95, 8 March 1995,Julio César Vásquez,0,175,168,Southpaw,American,LMid,WBA
Carl Daniels,16-Jun-95,16-Dec-95,Julio César Green,0,179,175,Southpaw,American,LMid,WBA
Julio Cesar Vasquez,16-Dec-95,21-Aug-96,Carl Daniels,0,175,173,Southpaw,Argentine,LMid,WBA
Laurent Boudouani,21-Aug-96,6-Mar-99,Julio César Vásquez ,4,188,177,Orthodox,French,LMid,WBA
David Reid,6-Mar-99,3-Mar-00,Laurent Boudouani,2,,175,Orthodox,American,LMid,WBA
Felix Trinidad,3-Mar-00, 29 May 2001,David Reid,2,183,180,Orthodox,Puerto Rican,LMid,WBA
Fernando Vargas,22-Sep-01,14-Sep-02,José Flores,0,188,178,Orthodox,American,LMid,WBA
Oscar De La Hoya  ,14-Sep-02,13-Sep-03,Fernando Vargas,1,,,,American,LMid,WBA
Shane Mosley,13-Sep-03,13-Mar-04,Oscar De La Hoya  ,0,188,175,Orthodox,American,LMid,WBA
Winky Wright,13-Mar-04, 20 March 2005,Shane Mosley,1,185,178,Southpaw,American,LMid,WBA
Travis Simms  Regular champion,20-Mar-05, 5 June 2005,Winky Wright,0,,,Southpaw,American,LMid,WBA
Alejandro Garcia  Regular champion,18-Jul-05,6-May-06,Promoted,1,,177,Orthodox,Mexican,LMid,WBA
Jose Antonio Rivera,6-May-06,6-Jan-07,Alejandro García  Regular champion,0,,173,Orthodox,American,LMid,WBA
Travis Simms,6-Jan-07,7-Jul-07,José Antonio Rivera,0,,,,American,LMid,WBA
Joachim Alcine,7-Jul-07,11-Jul-08,Travis Simms ,1,185,179,Orthodox,Canadian,LMid,WBA
Daniel Santos,11-Jul-08,14-Nov-09,Joachim Alcine,0,188,182,Southpaw,Puerto Rican,LMid,WBA
Yuri Foreman,14-Nov-09,5-Jun-10,Daniel Santos,0,183,180,Orthodox,Israeli,LMid,WBA
Miguel Cotto,5-Jun-10,5-May-12,Yuri Foreman,2,170,173,Orthodox,Puerto Rican,LMid,WBA
Floyd Mayweather Jr.,5-May-12, 19 January 2016,Miguel Cotto  ,1,183,173,Orthodox,American,LMid,WBA
Erislandy Lara ,19-Jan-16,8-Jun-16,,3,192,175,Southpaw,Cuban,LMid,WBA
Jarrett Hurd,7-Apr-18,11-May-19,Erislandy Lara  ,1,198,185,Orthodox,American,LMid,WBA
Julian Williams,11-May-19,18-Jan-20,Jarrett Hurd,0,184,180,Orthodox,American,LMid,WBA
Jeison Rosario,18-Jan-20,26-Sep-20,Julian Williams,0,178,180,Orthodox,Dominican,LMid,WBA
Jermell Charlo,26-Sep-20, present,Jeison Rosario,2,185,180,Orthodox,American,LMid,WBA
Santiago Samaniego,14-Sep-02,1-Mar-03,Promoted,0,,180,Orthodox,Panama,LMid,WBA_Reg
Alejandro Garcia,1-Mar-03,13-Dec-03,Santiago Samaniego,1,,177,Orthodox,Mexican,LMid,WBA_Reg
Travis Simms,13-Dec-03, 20 March 2005,Alejandro García,1,,,Southpaw,American,LMid,WBA_Reg
Austin Trout,5-Feb-11,20-Apr-13,Rigoberto Álvarez,4,185,177,Southpaw,American,LMid,WBA_Reg
Canelo Alvarez  ,20-Apr-13, 14 September 2013,Austin Trout,0,179,174,Orthodox,Mexican,LMid,WBA_Reg
Erislandy Lara,13-Mar-14, 19 January 2016,Promoted,3,192,175,Southpaw,Cuban,LMid,WBA_Reg
Jack Culcay,8-Jun-16,11-Mar-17,Promoted,0,165,170,Orthodox,German,LMid,WBA_Reg
Demetrius Andrade,11-Mar-17, 22 October 2017,Jack Culcay,0,187,185,Southpaw,American,LMid,WBA_Reg
Brian Castano,22-Oct-17, 20 June 2019,Promoted,2,173,170,Orthodox,Argentine,LMid,WBA_Reg
Erislandy Lara,31-Aug-19, 31 August 2021,Ramón Álvarez,1,192,175,Southpaw,Cuban,LMid,WBA_Reg
Jack Britton,21-Jan,1-Nov-22,Previous,4,178,173,Orthodox,American,Welt,WBA
Mickey Walker,1-Nov-22,20-May-26,Jack Britton,3,170,170,Orthodox,American,Welt,WBA
Pete Latzo,20-May-26,3-Jun-27,Mickey Walker,2,173,171,Southpaw,American,Welt,WBA
Joe Dundee,3-Jun-27, 22 March 1929,Pete Latzo,2,,170,,American,Welt,WBA
Jackie Fields,25-Mar-29,9-May-30,Jack Thompson,1,175,171,Orthodox,American,Welt,WBA
Jack Thompson,9-May-30,5-Sep-30,Jackie Fields,0,,170,Orthodox,American,Welt,WBA
Tommy Freeman,5-Sep-30,14-Apr-31,Jack Thompson,0,178,171,Orthodox,American,Welt,WBA
Jack Thompson,14-Apr-31,23-Oct-31,Tommy Freeman,0,,170,Orthodox,American,Welt,WBA
Lou Brouillard,23-Oct-31,28-Jan-32,Jack Thompson ,0,183,170,Southpaw,Canadian,Welt,WBA
Jackie Fields,28-Jan-32,22-Feb-33,Lou Brouillard,0,175,171,Orthodox,American,Welt,WBA
Young Corbett III,22-Feb-33,29-May-33,Jackie Fields ,0,170,171,Southpaw,American,Welt,WBA
Jimmy McLarnin,29-May-33,28-May-34,Young Corbett III,0,170,168,Orthodox,Irish,Welt,WBA
Barney Ross,28-May-34,17-Sep-34,Jimmy McLarnin,0,170,170,Orthodox,American,Welt,WBA
Jimmy McLarnin,17-Sep-34,28-May-35,Barney Ross,0,170,168,Orthodox,Irish,Welt,WBA
Barney Ross,28-May-35,31-May-38,Jimmy McLarnin ,2,170,170,Orthodox,American,Welt,WBA
Henry Armstrong,31-May-38,4-Oct-40,Barney Ross ,19,170,166,Orthodox,American,Welt,WBA
Fritzie Zivic,4-Oct-40,29-Jul-41,Henry Armstrong,1,180,178,Orthodox,American,Welt,WBA
Freddie Cochrane,29-Jul-41,1-Feb-46,Fritzie Zivic,0,170,171,Orthodox,American,Welt,WBA
Marty Servo,1-Feb-46, 25 September 1946,Freddie Cochrane,0,,170,Orthodox,American,Welt,WBA
Sugar Ray Robinson,20-Dec-46, 15 February 1951,Tommy Bell,4,184,180,Orthodox,American,Welt,WBA
Johnny Bratton,13-Mar-51,18-May-51,Charley Fusari,0,,,Orthodox,American,Welt,WBA
Kid Gavilan,18-May-51,20-Oct-54,Johnny Bratton,7,,,Orthodox,Cuban,Welt,WBA
Johnny Saxton,20-Oct-54,1-Apr-55,Kid Gavilán,0,,,Orthodox,American,Welt,WBA
Tony DeMarco,1-Apr-55,10-Jun-55,Johnny Saxton,0,,165,Orthodox,American,Welt,WBA
Carmen Basilio,10-Jun-55,14-Mar-56,Tony DeMarco,0,,169,Orthodox,American,Welt,WBA
Johnny Saxton,14-Mar-56,12-Sep-56,Carmen Basilio,0,,,Orthodox,American,Welt,WBA
Carmen Basilio,12-Sep-56, 23 September 1957,Johnny Saxton ,1,,169,Orthodox,American,Welt,WBA
Virgil Akins,6-Jun-58,5-Dec-58,Vince Martinez,0,,,,American,Welt,WBA
Don Jordan,5-Dec-58,27-May-60,Virgil Akins,2,,,,American,Welt,WBA
Benny Paret,27-May-60,1-Apr-61,Don Jordan,1,,,Orthodox,Cuban,Welt,WBA
Emile Griffith,1-Apr-61,30-Sep-61,Benny Paret,1,,169,Orthodox,Virgin Islander,Welt,WBA
Benny Paret,30-Sep-61,24-Mar-62,Emile Griffith,0,,,Orthodox,Cuban,Welt,WBA
Emile Griffith,24-Mar-62,21-Mar-63,Benny Paret ,2,,169,Orthodox,Virgin Islander,Welt,WBA
Luis Manuel Rodriguez,21-Mar-63,8-Jun-63,Emile Griffith ,0,,,Orthodox,Cuban,Welt,WBA
Emile Griffith,8-Jun-63, 10 June 1966,Luis Manuel Rodríguez,5,,169,Orthodox,Virgin Islander,Welt,WBA
Curtis Cokes,24-Aug-66,18-Apr-69,Manuel González,5,,,Orthodox,American,Welt,WBA
Jose Napoles,18-Apr-69,3-Dec-70,Curtis Cokes,3,172,171,Orthodox,Mexican,Welt,WBA
Billy Backus,3-Dec-70,4-Jun-71,José Nápoles,0,,,Southpaw,American,Welt,WBA
Jose Napoles,4-Jun-71, 16 May 1975,Billy Backus,9,172,171,Orthodox,Mexican,Welt,WBA
Angel Espada,28-Jun-75,17-Jul-76,Clyde Gray,1,,175,Orthodox,Puerto Rican,Welt,WBA
Jose Cuevas,17-Jul-76,2-Aug-80,Ángel Espada,11,,173,Orthodox,Mexican,Welt,WBA
Thomas Hearns,2-Aug-80,16-Sep-81,José Cuevas,3,198,188,Orthodox,American,Welt,WBA
Sugar Ray Leonard,16-Sep-81, 9 November 1982,Thomas Hearns,1,188,178,Orthodox,American,Welt,WBA
Donald Curry,13-Feb-83,27-Sep-86,Hwang Jun-Suk,7,183,179,Orthodox,American,Welt,WBA
Lloyd Honeyghan,27-Sep-86, 5 January 1987,Donald Curry,0,173,175,Orthodox,British,Welt,WBA
Mark Breland,6-Feb-87,22-Aug-87,Harold Volbrecht,0,197,189,Orthodox,American,Welt,WBA
Marlon Starling,22-Aug-87,29-Jul-88,Mark Breland,2,188,173,Orthodox,American,Welt,WBA
Tomas Molinares,29-Jul-88, 12 December 1988,Marlon Starling,0,,,,Colombian,Welt,WBA
Mark Breland,4-Feb-89,8-Jul-90,Lee Seung-Soon,4,197,189,Orthodox,American,Welt,WBA
Aaron Davis,8-Jul-90,19-Jan-91,Mark Breland ,0,,,,American,Welt,WBA
Meldrick Taylor,19-Jan-91,31-Oct-92,Aaron Davis,2,168,171,Orthodox,American,Welt,WBA
Crisanto Espana,31-Oct-92,4-Jun-94,Meldrick Taylor,2,,,,Venezuelan,Welt,WBA
Ike Quartey,4-Jun-94, 19 August 1998,Crisanto España,7,180,173,Orthodox,Ghanaian,Welt,WBA
James Page,10-Oct-98, 27 September 2000,Andrey Pestryaev,3,,,,American,Welt,WBA
Andrew Lewis,17-Feb-01,30-Mar-02,James Page,1,183,178,Orthodox, Guyanese,Welt,WBA
